sourceLanguage,targetLanguage,client,clientId,count
English,Kazakh,Schneider Electric Private Limited (SEPL),VPKW01275,2136
English,Italian,Schneider Electric Private Limited (SEPL),VPKW01275,68588
English,Unv. Spanish,Schneider Electric Private Limited (SEPL),VPKW01275,427
English,"Chinese (Traditional, Honkong)",Schneider Electric Private Limited (SEPL),VPKW01275,91
English,Czech,Schneider Electric Private Limited (SEPL),VPKW01275,32187
English,Lithuanian,Schneider Electric Private Limited (SEPL),VPKW01275,1622
Thai,English,Schneider Electric Private Limited (SEPL),VPKW01275,4511
English,French (Eu),SDI Business Services India Pvt Ltd (SEPL),VPKW02303,52
English,Polish,Schneider Electric Private Limited (SEPL),VPKW01275,35275
English,Portuguese,Schneider Electric Private Limited (SEPL),VPKW01275,18174
English,Croatian,Schneider Electric Private Limited (SEPL),VPKW01275,1548
English,Finnish,Schneider Electric Private Limited (SEPL),VPKW01275,2008
English,Ukrainian,Schneider Electric Private Limited (SEPL),VPKW01275,2177
English,Ukarainian,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,610
English,Slovenian,Schneider Electric Private Limited (SEPL),VPKW01275,1622
English,Spanish (Unv),SDI Business Services India Pvt Ltd (SEPL),VPKW02303,0
English,Chinese (Simplified),Schneider Electric Private Limited (SEPL),VPKW01275,11212
English,Portuguese Brazil,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,0
English,Russian,Schneider Electric Private Limited (SEPL),VPKW01275,36674
English,French,Schneider Electric Private Limited (SEPL),VPKW01275,64074
,Ukrainian,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,447
English,English,Schneider Electric Private Limited (SEPL),VPKW01275,2895
English,Danish,Schneider Electric Private Limited (SEPL),VPKW01275,19317
English ,Norwegian,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,23
English,Hungarian,Schneider Electric Private Limited (SEPL),VPKW01275,30277
English,Korean,Schneider Electric Private Limited (SEPL),VPKW01275,21123
English,Maltese,Schneider Electric Private Limited (SEPL),VPKW01275,1568
English,French(Canada),Schneider Electric Private Limited (SEPL),VPKW01275,37056
,,Schneider Electric Private Limited (SEPL),VPKW01275,12
English,Hebrew,Schneider Electric Private Limited (SEPL),VPKW01275,1610
English,Romanian,Schneider Electric Private Limited (SEPL),VPKW01275,4817
English,Portuguese Br,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,52
Chinese (Simplified),English,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,3726
English,Chinese,Schneider Electric Private Limited (SEPL),VPKW01275,21270
English,Bulgarian,Schneider Electric Private Limited (SEPL),VPKW01275,2205
English,French ,Schneider Electric Private Limited (SEPL),VPKW01275,0
English,Slovak,Schneider Electric Private Limited (SEPL),VPKW01275,3306
English,Irish,Schneider Electric Private Limited (SEPL),VPKW01275,1569
French,English,Schneider Electric Private Limited (SEPL),VPKW01275,91017
English ,Polish,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,23
English ,Russian,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,23
English ,Spanish,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,23
English,Chinese ,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,0
English,Greek,Schneider Electric Private Limited (SEPL),VPKW01275,28917
English,French (Canada),Schneider Electric Private Limited (SEPL),VPKW01275,48248
English,Chinese (Traditional),SDI Business Services India Pvt Ltd (SEPL),VPKW02303,7
German,English,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,26414
English,Spanish (Spain),SDI Business Services India Pvt Ltd (SEPL),VPKW02303,24
English,Turkish,Schneider Electric Private Limited (SEPL),VPKW01275,8145
English,French (Can),SDI Business Services India Pvt Ltd (SEPL),VPKW02303,4248
English,Indonesian,Schneider Electric Private Limited (SEPL),VPKW01275,24362
English,Macedonian,Schneider Electric Private Limited (SEPL),VPKW01275,1569
English,Portuguese (Brazil),Schneider Electric Private Limited (SEPL),VPKW01275,20027
English,Dutch,Schneider Electric Private Limited (SEPL),VPKW01275,23703
English,"Chinese (Traditional, Hong Kong)",Schneider Electric Private Limited (SEPL),VPKW01275,3090
English,Malay,Schneider Electric Private Limited (SEPL),VPKW01275,32
English,European French,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,980
English,Arabic,Schneider Electric Private Limited (SEPL),VPKW01275,26485
English,Norwegian,Schneider Electric Private Limited (SEPL),VPKW01275,19204
English,Brazilian-Portuguese,Schneider Electric Private Limited (SEPL),VPKW01275,5
English,Estonian,Schneider Electric Private Limited (SEPL),VPKW01275,1621
English,Japanese,Schneider Electric Private Limited (SEPL),VPKW01275,42754
English,French (France),Schneider Electric Private Limited (SEPL),VPKW01275,7644
English,Spanish,Schneider Electric Private Limited (SEPL),VPKW01275,82443
English,Latvian,Schneider Electric Private Limited (SEPL),VPKW01275,1621
English ,Swedish,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,23
English,Swedish,Schneider Electric Private Limited (SEPL),VPKW01275,19544
English,Vietnamese,SDI Business Services India Pvt Ltd (SEPL),VPKW02303,384
English,German,Schneider Electric Private Limited (SEPL),VPKW01275,54697
English,"Chinese (Traditional, Taiwan)",Schneider Electric Private Limited (SEPL),VPKW01275,3467
English,Thai,Schneider Electric Private Limited (SEPL),VPKW01275,26475
